Class,likes,relevance,correctness,dummy
True,1.0,0.26748475,0.99
True,13.0,0.18789096,0.99
True,0.0,0.0,0.99
True,16.0,0.45474532,0.66
FP,0.0,0.02719066,0.99
True,0.0,0.043021716,0.66
True,0.0,0.023712637,0.0
True,0.0,0.030574676,0.99
FN,0.0,0.26872563,0.66
True,0.0,0.03580511,0.99
True,0.0,0.06535145,0.99
True,0.0,0.09390749,0.99
True,1.0,0.2037713,0.99
FP,0.0,0.043768406,0.99
True,45.0,0.08208002,0.99
True,0.0,8.534224E-4,0.66
True,0.0,0.0,0.0
True,1.0,0.6670222,0.99
True,0.0,0.043336455,0.99
FP,0.0,0.0,0.66
True,67.0,0.037426453,0.99
FP,0.0,0.026233329,0.99
True,0.0,0.17448495,0.66
FN,0.0,0.139236,0.99
True,0.0,0.28546184,0.99
True,5.0,0.26222286,0.99
True,0.0,0.1126982,0.66
FP,0.0,0.078433126,0.99
True,1.0,0.19256566,0.99
True,0.0,0.09387454,0.99
True,98.0,0.0672048,0.99
True,0.0,0.0,0.0
True,0.0,0.09952895,0.99
True,0.0,0.0642506,0.33
True,0.0,0.027919961,0.99
True,24.0,0.0,0.99
FP,0.0,0.06342588,0.99
FP,0.0,0.068858445,0.66
True,9.0,0.18293214,0.99
True,27.0,0.22194347,0.99
True,0.0,0.0,0.66
FP,0.0,0.051405802,0.99
FN,0.0,0.117139034,0.99
True,42.0,0.09370707,0.99
True,8.0,0.21370016,0.66
True,0.0,0.0,0.0
FP,0.0,0.03900816,0.99
True,19.0,0.3393124,0.99
FP,0.0,0.030585306,0.99
FP,0.0,0.05844869,0.99
FP,0.0,0.05593207,0.99
True,0.0,0.11766988,0.99
FP,0.0,0.060125936,0.66
True,0.0,0.21370016,0.99
True,10.0,0.21799898,0.99
True,29.0,0.0,0.0
True,0.0,0.22960456,0.99
True,0.0,0.026808154,0.99
True,1.0,0.22174725,0.66
True,0.0,0.054200314,0.99
True,11.0,0.4443338,0.66
True,0.0,0.019530833,0.99
True,2.0,0.18671572,0.99
True,0.0,0.37592614,0.99
True,0.0,0.36240292,0.99
True,7.0,0.40979964,0.66
FP,0.0,0.06673483,0.99
True,1.0,0.16136003,0.66
True,0.0,0.111146964,0.99
True,0.0,0.1378046,0.99
True,0.0,0.1203891,0.99
FP,0.0,0.045624785,0.66
True,4.0,0.1836193,0.99
