isToDelete,wordsAmt,likes,relevance,hoursOfDay
2 1 0.26748475 0
30 13 0.18789096 0
4 0 0.0 1
11 16 0.45474532 0
10 0 0.02719066 1
23 0 0.043021716 1
1 0 0.023712637 1
5 0 0.030574676 1
2 0 0.26872563 0
10 0 0.03580511 1
4 0 0.06535145 1
30 0 0.09390749 0
15 1 0.2037713 0
18 0 0.043768406 1
8 45 0.08208002 0
15 0 8.534224E-4 1
1 0 0.0 1
13 1 0.6670222 0
9 0 0.043336455 1
3 0 0.0 1
9 67 0.037426453 0
10 0 0.026233329 1
3 0 0.17448495 0
3 0 0.139236 0
9 0 0.28546184 0
6 5 0.26222286 0
3 0 0.1126982 0
21 0 0.078433126 1
8 1 0.19256566 0
179 0 0.09387454 0
46 98 0.0672048 0
1 0 0.0 1
7 0 0.09952895 0
18 0 0.0642506 1
5 0 0.027919961 1
5 24 0.0 0
29 0 0.06342588 1
17 0 0.068858445 1
7 9 0.18293214 0
6 27 0.22194347 0
6 0 0.0 1
10 0 0.051405802 1
112 0 0.117139034 0
56 42 0.09370707 0
5 8 0.21370016 0
1 0 0.0 1
33 0 0.03900816 1
19 19 0.3393124 0
8 0 0.030585306 1
12 0 0.05844869 1
7 0 0.05593207 1
9 0 0.11766988 0
10 0 0.060125936 1
8 0 0.21370016 0
5 10 0.21799898 0
1 29 0.0 0
7 0 0.22960456 0
14 0 0.026808154 1
5 1 0.22174725 0
2 0 0.054200314 1
5 11 0.4443338 0
12 0 0.019530833 1
3 2 0.18671572 0
6 0 0.37592614 0
4 0 0.36240292 0
6 7 0.40979964 0
31 0 0.06673483 1
2 1 0.16136003 0
93 0 0.111146964 0
15 0 0.1378046 0
55 0 0.1203891 0
4 0 0.045624785 1
4 4 0.1836193 0
7 1 0.24481921 0
5 0 0.072527 1
1 0 0.0 1
4 11 0.04260347 0
5 0 0.0585647 1
9 0 0.039906375 1
14 0 0.039491653 1
10 0 0.43155435 0
11 1 0.021626439 1
7 0 0.67924476 0
1 0 0.0 1
1 0 0.0 1
3 31 0.069911025 0
12 0 0.09714636 0
20 2 0.25640646 0
27 0 0.062000334 1
9 0 0.028174356 1
3 20 0.13309555 0
2 1 0.23101887 0
